"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"A. Ganeshamurthi","Elected","18/05/2009","In office","Tamil Nadu","Erode","Marumalarchi Dravida Munnetra Kazhagam","Male","Graduate","B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",65,22,0,263,"73%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",11.2793210049907,77.3846893720815,-77.3846893720815
"A.K.S. Vijayan","Elected","18/05/2009","In office","Tamil Nadu","Nagapattinam","Dravida Munnetra Kazhagam","Male","Graduate","B.A.; Educated at Madras University, Chennai, Tamil Nadu",50,18,0,184,"55%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",10.8459736469641,79.6946024167603,-79.6946024167603
"A.T. Nana Patil","Elected","18/05/2009","In office","Maharashtra","Jalgaon","Bharatiya Janata Party","Male","Graduate","M.Com (2nd Year Appearing)",50,52,10,457,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.8423096938638,75.5800265341194,-75.5800265341194
"Abdul Mannan Hossain","Elected","18/05/2009","In office","West Bengal","Murshidabad","Indian National Congress","Male","Graduate","B.A.; Educated at R.K.N.College",59,0,0,0,"58%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",24.2878087708858,88.2805107252503,-88.2805107252503
"Abdul Rahman","Elected","18/05/2009","In office","Tamil Nadu","Vellore","Dravida Munnetra Kazhagam","Male","Post Graduate","M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",53,21,0,357,"66%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",12.7330528522249,79.0988326018262,-79.0988326018262
"Abu Hasem Khan Choudhury","Elected","18/05/2009","In office","West Bengal","Maldaha Dakshin","Indian National Congress","Male","Graduate",,74,3,0,8,"77%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",25.097910729669,88.1155414611021,-88.1155414611021
"Adagooru H Vishwanath","Elected","18/05/2009","In office","Karnataka","Mysore","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",62,2,0,207,"66%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.1966750421213,76.5231028078798,-76.5231028078798
"Adhi Sankar","Elected","18/05/2009","In office","Tamil Nadu","Kallakurichi","Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",55,8,0,74,"53%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",19.8190218132299,83.1596693527253,-83.1596693527253
"Adhir Ranjan Chowdhury","Elected","18/05/2009","In office","West Bengal","Baharampur","Indian National Congress","Male","Under Matric","Educated at I.C. Institute, Berhampore, West Bengal",56,85,18,307,"82%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",29.036449433728,77.3275597928941,-77.3275597928941
"Agatha K. Sangma","Elected","18/05/2009","In office","Meghalaya","Tura","Nationalist Congress Party","Female","Post Graduate","M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws",32,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",13.4186850291141,76.9082738266413,-76.9082738266413
