"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"A. Ganeshamurthi","Elected",18/05/2009,"In office","Tamil Nadu","Erode","Marumalarchi Dravida Munnetra Kazhagam","Male","Graduate","B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",65,22,0,263,73%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,11.279321,77.3846893720815,-077.384689
"A.K.S. Vijayan","Elected",18/05/2009,"In office","Tamil Nadu","Nagapattinam","Dravida Munnetra Kazhagam","Male","Graduate","B.A.; Educated at Madras University, Chennai, Tamil Nadu",50,18,0,184,55%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,10.845974,79.6946024167603,-079.694602
"A.T. Nana Patil","Elected",18/05/2009,"In office","Maharashtra","Jalgaon","Bharatiya Janata Party","Male","Graduate","M.Com (2nd Year Appearing)",50,52,10,457,84%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20.842310,75.5800265341194,-075.580027
"Abdul Mannan Hossain","Elected",18/05/2009,"In office","West Bengal","Murshidabad","Indian National Congress","Male","Graduate","B.A.; Educated at R.K.N.College",59,0,0,0,58%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,24.287809,88.2805107252503,-088.280511
"Abdul Rahman","Elected",18/05/2009,"In office","Tamil Nadu","Vellore","Dravida Munnetra Kazhagam","Male","Post Graduate","M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",53,21,0,357,66%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,12.733053,79.0988326018262,-079.098833
"Abu Hasem Khan Choudhury","Elected",18/05/2009,"In office","West Bengal","Maldaha Dakshin","Indian National Congress","Male","Graduate",,74,3,0,8,77%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,25.097911,88.1155414611021,-088.115541
"Adagooru H Vishwanath","Elected",18/05/2009,"In office","Karnataka","Mysore","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",62,2,0,207,66%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,12.196675,76.5231028078798,-076.523103
"Adhi Sankar","Elected",18/05/2009,"In office","Tamil Nadu","Kallakurichi","Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",55,8,0,74,53%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,19.819022,83.1596693527253,-083.159669
"Adhir Ranjan Chowdhury","Elected",18/05/2009,"In office","West Bengal","Baharampur","Indian National Congress","Male","Under Matric","Educated at I.C. Institute, Berhampore, West Bengal",56,85,18,307,82%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,29.036449,77.3275597928941,-077.327560
"Agatha K. Sangma","Elected",18/05/2009,"In office","Meghalaya","Tura","Nationalist Congress Party","Female","Post Graduate","M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws",32,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",13.418685,76.9082738266413,-076.908274
"Ajay Kumar","Elected",01/08/2011,"In office","Jharkhand","Jamshedpur","Jharkhand Vikas Morcha (Prajatantrik)","Male","Professional Graduate","MBBS, IPS",50,15,3,54,75%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,13.4,0.5,73,65%,22.312590,69.8003537883374,-069.800354
"Ajay Maken","Elected",18/05/2009,"In office","Delhi","New Delhi","Indian National Congress","Male","Graduate","B.A.; Educated at University of Delhi",48,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",28.610335,77.2141827103642,-077.214183
"Ajit Singh","Elected",18/05/2009,"In office","Uttar Pradesh","Baghpat","Rashtriya Lok Dal","Male","Post Graduate","B.Sc., B. Tech. and M.S.; Educated at Lucknow University, Lucknow; I.I.T. Kharagpur and Illinois Institute of Technology, Chicago (U.S.A.) ",73,2,0,0,44%,"This MP was appointed a minister on 18 December, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 16th December, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",20,0.4,160,77%,24.1,0.3,131,80%,30.036983,79.8153745724650,-079.815375
"Akhilesh Yadav","Elected",18/05/2009,"02-05-2012","Uttar Pradesh","Kannauj","Samajwadi Party","Male","Post Graduate","B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",39,4,0,0,53%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.3,0.6,183,77%,28.4,0.4,151,80%,20.125299,81.1092632470914,-081.109263
