"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"A. Ganeshamurthi","Elected","18/05/2009","In office","Tamil Nadu","Erode","Marumalarchi Dravida Munnetra Kazhagam","Male","Graduate","B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",65,65,22,37,37,0,2,2,263,348,348,"73%",0.93,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",11.279321,77.3846893720815,-77.384689
"A.K.S. Vijayan","Elected","18/05/2009","In office","Tamil Nadu","Nagapattinam","Dravida Munnetra Kazhagam","Male","Graduate","B.A.; Educated at Madras University, Chennai, Tamil Nadu",50,50,18,33,33,0,2,2,184,269,269,"55%",0.75,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",10.845974,79.6946024167603,-79.694602
"A.T. Nana Patil","Elected","18/05/2009","In office","Maharashtra","Jalgaon","Bharatiya Janata Party","Male","Graduate","M.Com (2nd Year Appearing)",50,50,52,67,67,10,12,12,457,542,542,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.84231,75.5800265341194,-75.580027
"Abdul Mannan Hossain","Elected","18/05/2009","In office","West Bengal","Murshidabad","Indian National Congress","Male","Graduate","B.A.; Educated at R.K.N.College",59,59,0,15,15,0,2,2,0,85,85,"58%",0.78,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",24.287809,88.2805107252503,-88.280511
"Abdul Rahman","Elected","18/05/2009","In office","Tamil Nadu","Vellore","Dravida Munnetra Kazhagam","Male","Post Graduate","M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",53,53,21,36,36,0,2,2,357,442,442,"66%",0.86,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",12.733053,79.0988326018262,-79.098833
"Abu Hasem Khan Choudhury","Elected","18/05/2009","In office","West Bengal","Maldaha Dakshin","Indian National Congress","Male","Graduate",,74,74,3,18,18,0,2,2,8,93,93,"77%",0.97,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",25.097911,88.1155414611021,-88.115541
"Adagooru H Vishwanath","Elected","18/05/2009","In office","Karnataka","Mysore","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",62,62,2,17,17,0,2,2,207,292,292,"66%",0.86,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.196675,76.5231028078798,-76.523103
"Adhi Sankar","Elected","18/05/2009","In office","Tamil Nadu","Kallakurichi","Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",55,55,8,23,23,0,2,2,74,159,159,"53%",0.73,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",19.819022,83.1596693527253,-83.159669
"Adhir Ranjan Chowdhury","Elected","18/05/2009","In office","West Bengal","Baharampur","Indian National Congress","Male","Under Matric","Educated at I.C. Institute, Berhampore, West Bengal",56,56,85,100,100,18,20,20,307,392,392,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",29.036449,77.3275597928941,-77.32756
"Agatha K. Sangma","Elected","18/05/2009","In office","Meghalaya","Tura","Nationalist Congress Party","Female","Post Graduate","M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws",32,32,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",13.418685,76.9082738266413,-76.908274
"Ajay Kumar","Elected","01/08/2011","In office","Jharkhand","Jamshedpur","Jharkhand Vikas Morcha (Prajatantrik)","Male","Professional Graduate","MBBS, IPS",50,50,15,30,30,3,5,5,54,139,139,"75%",0.95,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,"77%",13.4,0.5,73,"65%",22.31259,69.8003537883374,-69.800354
"Ajay Maken","Elected","18/05/2009","In office","Delhi","New Delhi","Indian National Congress","Male","Graduate","B.A.; Educated at University of Delhi",48,48,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",28.610335,77.2141827103642,-77.214183
"Ajit Singh","Elected","18/05/2009","In office","Uttar Pradesh","Baghpat","Rashtriya Lok Dal","Male","Post Graduate","B.Sc., B. Tech. and M.S.; Educated at Lucknow University, Lucknow; I.I.T. Kharagpur and Illinois Institute of Technology, Chicago (U.S.A.) ",73,73,2,17,17,0,2,2,0,85,85,"44%",0.64,0.64,"This MP was appointed a minister on 18 December, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 16th December, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",20,0.4,160,"77%",24.1,0.3,131,"80%",30.036983,79.815374572465,-79.815375
